Set Abbreviation,API Set Code
OP1,POP1
OP2,POP2
OP3,POP3
OP4,POP4
OP5,POP5
OP6,POP6
OP7,POP7
OP8,POP8
OP9,POP9
WP,BASEP
BP,BASEP
B,BASE1
J,BASE2
F,BASE3
BS,BASE1
JU,BASE2
FO,BASE3
B2,BASE4
TR,BASE5
GH,GYM1
GC,GYM2
NG,NEO1
NDC,NEO2
NR,NEO3
NDT,NEO4
LC,BASE6
EX,ECARD1
AQ,ECARD2
SK,ECARD3
RS,EX1
SS,EX2
DR,EX3
AM,EX4
HL,EX5
RG,EX6
TRR,EX7
DX,EX8
EM,EX9
UF,EX10
DS,EX11
LM,EX12
HP,EX13
CG,EX14
DF,EX15
PK,EX16
DP,DP1
MT,DP2
SW,DP3
GE,DP4
MD,DP5
LA,DP6
SF,DP7
PL,PL1
RR,PL2
SV,PL3
AR,PL4
HS,HGSS1
UL,HGSS2
UD,HGSS3
TM,HGSS4
CL,COL1
BW,BW1
BLW,BW1
EPO,BW2
NVI,BW3
NXD,BW4
DEX,BW5
DRX,BW6
DRV,DV1
BCR,BW7
PLS,BW8
PLF,BW9
PLB,BW10
LTR,BW11
KSS,XY0
XY,XY1
FLF,XY2
FFI,XY3
PHF,XY4
PRC,XY5
DCR,DC1
ROS,XY6
AOR,XY7
BKT,XY8
BKP,XY9
GEN,G1
FAC,XY10
FCO,XY10
STS,XY11
EVO,XY12
SUM,SM1
GRI,SM2
BUS,SM3
SLG,SM35
CIN,SM4
CRI,SM4
UPR,SM5
FLI,SM6
CES,SM7
DRM,SM75
LOT,SM8
TEU,SM9
DET,DET1
UNB,SM10
UNM,SM11
HIF,SM115
CEC,SM12
SSH,SWSH1
RCL,SWSH2
DAA,SWSH3
CPA,SWSH5
PR-SWSH,SWSHP
PR-BLW,BWP
PR-XY,XYP
PR-SM,SMP